book_id,book_title,book_author,publication_year,classification_level_1,classification_level_2,classification_level_3
2304,Advances in computer science for engineering and education IV ,"International Conference on Computer Science, Engineering and Education Applications Kyiv, Ukraine) 2021 : (4th :",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2305,"Advances in computer science--ASIAN 2004 : higher-level decision making : 9th Asian Computing Science Conference : dedicated to Jean-Louis Lassez on the occasion of his 5th cycle birthday, Chiang Mai, Thailand, December 8-10, 2004 : proceedings ","Asian Computing Science Conference Chiang Mai, Thailand) 2004 : (9th :",2005,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2306,"Advances in computer science--ASIAN 2007 : computer and network security : 12th Asian Computing Science Conference, Doha, Qatar, December 9-11, 2007 : proceedings ","Asian Computing Science Conference Dawh?ah, Qatar) 2007 : (12th :",2007,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2307,"Advances in computing and data sciences : 4th International Conference, ICACDS 2020, Valletta, Malta, April 24-25, 2020, Revised selected papers ","ICACDS (Conference) Valletta, Malta) 2020 : (4th :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2308,"Advances in computing and information technology : first International Conference, ACITY 2011, Chennai, India, July 15-17, 2011, proceedings ","ACITY 2011 Chennai, India) (2011 :",2011,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2309,"Advances in computing, communication, and control : third International Conference, ICAC3 2013, Mumbai, India, January 18-19, 2013. Proceedings ","International Conference on Advances in Computing, Communication, and Control Mumbai, India) 2013 : (3rd :",2013,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2310,"Advances in conceptual modeling : ER 2015 Workshops, AHA, CMS, EMoV, MoBiD, MORE-BI, MReBA, QMMQ, and SCME Stockholm, Sweden, October 19-22, 2015, Proceedings ","International Conference on Conceptual Modeling Stockholm, Sweden) 2015 : (34th :",2015,"Computer science, information & general works","Computer science, knowledge & systems",Systems
2311,"Advances in conceptual modeling : ER 2017 Workshops AHA, MoBiD, MREBA, OntoCom, and QMMQ, Valencia, Spain, November 6-9, 2017, Proceedings ","International Conference on Conceptual Modeling Valencia, Spain) 2017 : (36th :",2017,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2312,Advances in control instrumentation systems : select proceedings of CISCON 2019 ,CISCON (Conference) (2019),2020,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2313,Advances in Control Systems and its Infrastructure : proceedings of ICPCCI 2019 ,"International Conference on Power, Control and Communication Infrastructure Ahmedabad, India) (2019 :",2020,Technology,Engineering & allied operations,Other branches of engineering
2314,"Advances in cryptology -- ASIACRYPT 2018 : 24th International Conference on the Theory and Application of Cryptology and Information Security, Brisbane, QLD, Australia, December 2-6, 2018, Proceedings.","International Conference on the Theory and Application of Cryptology and Information Security Brisbane, Qld.) 2018 : (24th :",2018,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2315,"Advances in cryptology -- ASIACRYPT 2023 : 29th International Conference on the Theory and Application of Cryptology and Information Security, Guangzhou, China, December 4-8, 2023, Proceedings.","International Conference on the Theory and Application of Cryptology Guangzhou, China) 2023 : (29th :",2024,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2316,"Advances in cryptology - CRYPTO 2018 : 38th Annual International Cryptology Conference, Santa Barbara, CA, USA, August 19-23, 2018, Proceedings.","CRYPTO (Conference) Santa Barbara, Calif.) 2018 : (38th :",2018,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2317,"Advances in Cryptology -- CRYPTO 2022 : 42nd Annual International Cryptology Conference, CRYPTO 2022, Santa Barbara, CA, USA, August 15-18, 2022, proceedings.","CRYPTO (Conference) Santa Barbara, Calif.) 2022 : (42nd :",2022,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2318,"Advances in cryptology -- CRYPTO 2022 : 42nd Annual International Cryptology Conference, CRYPTO 2022, Santa Barbara, CA, USA, August 15-18, 2022, proceedings.","CRYPTO (Conference) Santa Barbara, Calif.) 2022 : (42nd :",2022,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2319,"Advances in cryptology -- EUROCRYPT 2013 : 32nd Annual International Conference on the Theory and Applications of Cryptographic Techniques, Athens, Greece, May 26-30, 2013, proceedings ","EUROCRYPT (Conference) Athens, Greece) 2013 : (32nd :",2013,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2320,"Advances in cryptology -- EUROCRYPT 2022 : 41st Annual International Conference on the Theory and Applications of Cryptographic Techniques, Trondheim, Norway, May 30-June 3, 2022, Proceedings.","EUROCRYPT (Conference) Trondheim, Norway) 2022 : (41st :",2022,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2321,"Advances in cryptology : CRYPTO 2013 : 33rd annual cryptology conference, Santa Barbara, CA, USA, August 18-22, 2013, proceedings,","CRYPTO (Conference) Santa Barbara, Calif.) 2013 : (33rd :",2013,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2322,"Advances in Cryptology-- ASIACRYPT 2013 : 19th International Conference on the Theory and Application of Cryptology and Information Security, Bengaluru, India, December 1-5, 2013, Proceedings.","International Conference on the Theory and Application of Cryptology and Information Security Bangalore, India) 2013 : (19th :",2013,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2323,"Advances in cryptology-- CRYPTO 2011 : 31st Annual Cryptology Conference, Santa Barbara, CA, USA, August 14-18, 2011 : proceedings ","CRYPTO (Conference) Santa Barbara, Calif.) 2011 : (31st :",2011,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2324,"Advances in cryptology--CRYPTO 2010 : 30th annual cryptology conference, Santa Barbara, CA, USA, August 15-19, 2010 : proceedings ","CRYPTO (Conference) Santa Barbara, Calif.) 2010 : (30th :",2010,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2325,"Advances in cybersecurity, cybercrimes, and smart emerging technologies ","International Conference on Cybersecurity, Cybercrimes, and Smart Emerging Technologies Riyadh, Saudi Arabia). (2022 :",2023,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2326,"Advances in data analysis, data handling and business intelligence : proceedings of the 32nd Annual Conference of the Gesellschaft fu?r Klassifikation e.V., Joint Conference with the British Classification Society (BCS) and the Dutch/Flemish Classification Society (VOC), Helmut-Schmidt-University, Hamburg, July 16-18, 2008 ",Gesellschaft fu?r Klassifikation. Jahrestagung Helmut-Schmidt-Universita?t/ Universita?t der Bundeswehr Hamburg) 2008 : (32nd :,2010,Natural Sciences and Mathemetics,Mathematics,Probabilities & applied mathematics
2327,Advances in data and information sciences : Proceedings of ICDIS 2019 ,"International Conference on Data and Information Sciences Agra, India) 2019 : (2nd :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2328,Advances in data and information sciences : proceedings of ICDIS 2022 ,"International Conference on Data and Information Sciences Agra, India). 2022 : (4th :",2023,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2329,"Advances in data computing, communication and security : proceedings of I3CS2021 ","International Conference on Advances in Data Computing, Communication and Security Kurukshetra, India) (2021 :",2022,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2330,"Advances in data mining : applications and theoretical aspects : 14th Industrial Conference, ICDM 2014, St. Petersburg, Russia, July 16-20, 2014. Proceedings ","Industrial Conference on Data Mining Saint Petersburg, Russia) 2014 : (14th :",2014,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2331,"Advances in data mining : applications and theoretical aspects : 16h Industrial Conference, ICDM 2016, New York, NY, USA, July 13-17, 2016, Proceedings ","Industrial Conference on Data Mining New York, N.Y.) 2016 : (16th :",2016,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2332,"Advances in data mining : applications in medicine, web mining, marketing, image and signal mining : 6th Industrial Conference on Data Mining, ICDM 2006, Leipzig, Germany, July 14-15, 2006 : proceedings ","Industrial Conference on Data Mining Leipzig, Germany) 2006 : (6th :",2006,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2333,Advances in data science and management : proceedings of ICDSM 2021 ,"ICDSM (Conference) Bhubaneswar, India) 2021 : (2nd :",2022,Technology,Management & auxiliary services,General management
2334,"Advances in databases and information systems : 13th East European conference, ADBIS 2009, Riga, Latvia, September 7-10, 2009 ; proceedings ","ADBIS (Conference) Ri?ga, Latvia) 2009 : (13th :",2009,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2335,"Advances in databases and information systems : 22nd European Conference, ADBIS 2018, Budapest, Hungary, September 2-5, 2018, Proceedings ","ADBIS (Conference) Budapest, Hungary) 2018 : (22nd :",2018,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2336,"Advances in databases and information systems : associated workshops and doctoral consortium of the 13th East European Conference, ADBIS 2009, Riga, Latvia, September 7-10, 2009 ; revised selected papers ","ADBIS (Conference) Ri?ga, Latvia) 2009 : (13th :",2010,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2337,Advances in data-driven computing and intelligent systems : selected papers from ADCIS 2023.,"International Conference on Advances in Data-driven Computing and Intelligent Systems Goa, India). 2023 : (2nd :",2024,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2338,"Advances in depth image analysis and applications : international workshop, WDIA 2012, Tsukuba, Japan, November 11, 2012 : revised selected and invited papers ","WDIA (Workshop) Tsukuba-shi, Japan) (2012 :",2013,Technology,Engineering & allied operations,Applied physics
2339,"Advances in design and digital communication III : proceedings of the 6th International Conference on Design and Digital Communication, Digicom 2022, November 3-5, 2022, Barcelos, Portugal ","International Conference on Design and Digital Communication Barcelos, Portugal ; Online) 2022 : (6th :",2023,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2340,Advances in design and specification languages for SoCs : selected contributions from FDL'04 ,"FDL'04 Lille, France) (2004 :",2005,Technology,Engineering & allied operations,Applied physics
2341,"Advances in design, simulation and manufacturing VI : proceedings of the 6th International Conference on Design, Simulation, Manufacturing: The Innovation Exchange, DSMIE-2023, June 6-9, 2023, High Tatras, Slovak Republic.","International Conference on Design, Simulation, Manufacturing: The Innovation Exchange High Tatras, Slovak Republic) 2023 : (6th :",2023,Technology,Manufacturing,Manufacturing
2342,"Advances in Difference Equations and Discrete Dynamical Systems : ICDEA, Osaka, Japan, July 2016 ","International Conference on Difference Equations and Applications Osaka, Japan) 2016 : (22nd :",2017,Natural Sciences and Mathemetics,Mathematics,Analysis
2343,"Advances in digital forensics X : 10th IFIP WG 11.9 International Conference, Vienna, Austria, January 8-10, 2014, Revised selected papers ","IFIP International Conference on Digital Forensics Vienna, Austria) 2014 : (10th :",2014,Social sciences,Social problems & services; associations,Criminology
2344,"Advances in digital forensics XVIII : 18th IFIP WG 11.9 international conference, virtual event, January 3-4, 2022 : revised selected papers ",IFIP International Conference on Digital Forensics Online) 2022 : (18th :,2022,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2345,"Advances in digital human modeling : proceedings of the 8th International Digital Human Modeling Symposium, 4-6 September 2023, Antwerp, Belgium ","International Digital Human Modeling Symposium Antwerp, Belgium). 2023 : (8th :",2023,Technology,Engineering & allied operations,Engineering & allied operations
2346,"Advances in digital marketing and eCommerce : second International Conference, 2021 ",Digital Marketing & ECommerce Conference Online) 2021 : (2nd :,2021,Technology,Management & auxiliary services,General management
2347,Advances in digital terrain analysis.,"Zhou, Qiming.",2008,Natural Sciences and Mathemetics,Astronomy & allied sciences,Mathematical geography
2348,"Advances in discrete dynamical systems, difference equations and applications : 26th ICDEA, Sarajevo, Bosnia and Herzegovina, July 26-30, 2021 ",International Conference on International Difference Equations and Applications Online). 2021 : (26th :,2023,Natural Sciences and Mathemetics,Mathematics,Analysis
2349,Advances in distributed computing and machine learning : proceedings of ICADCML 2021 ,"International Conference on Advances in Distributed Computing and Machine Learning Bhubaneswar, India) 2021 : (2nd :",2022,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2350,"Advances in distribution theory, order statistics, and inference ","International Conference on Distribution Theory, Order Statistics, and Inference Universidad de Cantabria) (2004 :",2006,Natural Sciences and Mathemetics,Mathematics,Probabilities & applied mathematics
2351,Advances in domain adaptation theory ,"Redko, Ievgen author.",2019,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2352,Advances in electromechanical technologies : select proceedings of TEMT 2019 ,International Conference on Emerging Trends in Electromechanical Technologies & Management (2019),2021,Technology,Engineering & allied operations,Applied physics
2353,"Advances in electronics engineering : proceedings of the ICCEE 2019, Kuala Lumpur, Malaysia ","International Conference on Computer Science, Electrical and Electronic Engineering Kuala Lumpur, Malaysia) (2019 :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2354,Advances in engineering design : select proceedings of ICOIED 2020 ,"International Conference on Innovative Engineering Design Dehradun, India) (2020 :",2021,Technology,Engineering & allied operations,Engineering & allied operations
2355,Advances in engineering materials select proceedings of FLAME 2022 ,"International Conference on Future Learning Aspects for Mechanical Engineering Noida, India) 2022 : (3rd :",2024,Technology,Engineering & allied operations,Engineering & allied operations
2356,"Advances in engineering research and application : proceedings of the International Conference on Engineering Research and Applications, ICERA 2020 ","International Conference on Engineering Research and Applications Tha?i Nguye?n, Vietnam). 2020 : (3rd :",2021,Technology,Engineering & allied operations,Engineering & allied operations
2357,"Advances in engineering structures, mechanics & construction : proceedings of an International Conference on Advances in Engineering Structures, Mechanics & Construction, held in Waterloo, Ontario, Canada, May 14-17, 2006 ","International Conference on Advances in Engineering Structures, Mechanics & Construction Waterloo, Ont.) (2006 :",2006,Technology,Engineering & allied operations,Civil engineering
2358,"Advances in enterprise engineering XVI : 12th Enterprise Engineering Working Conference, EEWC 2022, Leusden, The Netherlands, November 2-3, 2022, Revised selected papers ","Enterprise Engineering Working Conference Leusden, Netherlands) 2022 : (12th :",2023,Technology,Engineering & allied operations,Engineering & allied operations
2359,Advances in environment engineering and management : proceedings of the 1st National Conference on Sustainable Management of Environment and Natural Resource Through Innovation in Science and Technology ,"National Conference on Sustainable Management of Environment and Natural Resource Through Innovation in Science and Technology Dehra Du?n, India). 2020 : (1st :",2021,Social sciences,Economics,Production
2360,"Advances in ergonomic design of systems, products and processes : proceedings of the annual meeting of GfA 2016 ","Gesellschaft fu?r Arbeitswissenschaft (Germany). Kongress Aachen, Germany) 2016 : (62nd :",2017,Technology,Engineering & allied operations,Engineering & allied operations
2361,"Advances in evolutionary and deterministic methods for design, optimization and control in engineering and sciences ","EUROGEN (Conference) Glasgow, Scotland) 2015 : (11th :",2019,Natural Sciences and Mathemetics,Mathematics,Probabilities & applied mathematics
2362,"Advances in fashion and design research : proceedings of the 5th International Fashion and Design Congress, CIMODE 2022, July 4-7, 2022, Guimara?es, Portugal ","International Fashion and Design Congress Guimara?es, Portugal). 2022 : (5th :",2023,The arts; fine & decorative arts,Drawing & decorative arts,Textile arts
2363,"Advances in fuzzy logic and technology 2017 : proceedings of: EUSFLAT- 2017 -- The 10th Conference of the European Society for Fuzzy Logic and Technology, September 11-15, 2017, Warsaw, Poland IWIFSGN'2017 -- The Sixteenth International Workshop on Intuitionistic Fuzzy Sets and Generalized Nets, September 13-15, 2017, Warsaw, Poland.","European Society for Fuzzy Logic and Technology. Conference Warsaw, Poland) 2017 : (10th :",2017,Natural Sciences and Mathemetics,Mathematics,General principles of mathematics
2364,"Advances in gender and cultural research in business and economics : 4th IPAZIA Workshop on Gender Issues 2018, Rome, Italy ",IPAZIA Workshop on Gender (2018),2019,Social sciences,"Social sciences, sociology & anthropology",Social groups
2365,Advances in geomorphology and quaternary studies in Argentina : proceedings of the Sixth Argentine Geomorphology and Quaternary Studies Congress ,"Argentine Geomorphology and Quaternary Studies Congress Ushuaia, Argentina) 2015 : (6th :",2017,Natural Sciences and Mathemetics,Earth sciences,"Geology, hydrology & meteorology"
2366,Advances in geo-science and geo-structures : select proceedings of GSGS 2020 ,"National Conference on Geo-Science and Geo-Structures Jamshedpur, India) (2020 :",2022,Technology,Engineering & allied operations,Civil engineering
2367,Advances in geospatial technology in mining and earth sciences : selected papers of the 2nd International Conference on Geo-Spatial Technologies and Earth Resources 2022 ,"International Conference on Geo-Spatial Technologies and Earth Resources Hanoi, Vietnam) 2022 : (2nd :",2023,History & geography,Geography & travel,Geography & travel
2368,"Advances in grid and pervasive computing : 6th International Conference, GPC 2011, Oulu, Finland, May 11-13, 2011, proceedings ","GPC (Conference) Oulu, Finland) 2011 : (6th :",2011,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2369,"Advances in guidance, navigation and control : proceedings of 2020 International Conference on Guidance, Navigation and Control, ICGNC 2020, Tianjin, China, October 23-25, 2020 ","International Conference on Guidance, Navigation and Control Tianjin, China) 2020 : (9th :",2022,Technology,Engineering & allied operations,Other branches of engineering
2370,"Advances in H [infinity symbol] control theory : switched, delayed and biological systems ","Gershon, Eli, author.",2019,Technology,Engineering & allied operations,Other branches of engineering
2371,"Advances in human aspects of transportation : proceedings of the AHFE 2020 Virtual Conference on Human Aspects of Transportation, July 16-20, 2020, USA ",International Conference on Human Factors in Transportation Online) (2020 :,2020,Technology,Engineering & allied operations,Engineering & allied operations
2372,"Advances in human factors and ergonomics in healthcare : proceedings of the AHFE 2016 International Conference on Human Factors and Ergonomics in Healthcare, July 27-31, 2016, Walt Disney World, Florida, USA ","International Conference on Human Factors and Ergonomics in Healthcare Orlando, Fla.) (2016 :",2016,Technology,Medicine & health,Medicine & health
2373,"Advances in human factors and sustainable infrastructure : proceedings of the AHFE 2016 International Conference on Human Factors and Sustainable Infrastructure, July 27-31, 2016, Walt Disney World®, Florida, USA ","International Conference on Applied Human Factors and Ergonomics Orlando, Fla.) 2016 : (7th :",2016,Technology,Engineering & allied operations,Engineering & allied operations
2374,"Advances in human factors and systems interaction : proceedings of the AHFE 2020 Virtual Conference on Human Factors and Systems Interaction, July 16-20, 2020, USA ",International Conference on Human Factors and Systems Interaction Online) (2020 :,2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2375,"Advances in Human Factors in Communication of Design : Proceedings of the AHFE 2018 International Conference on Human Factors in Communication of Design, July 21-25, 2018, Loews Sapphire Falls Resort at Universal Studios, Orlando, Florida, USA.","International Conference on Applied Human Factors and Ergonomics Orlando, Fla.) (2018 :",2018,Technology,Engineering & allied operations,Engineering & allied operations
2376,"Advances in human factors in energy : oil, gas, nuclear and electric power industries : proceedings of the AHFE 2016 International Conference on Human Factors in Energy: Oil, Gas, Nuclear and Electric Power Industries, July 27-31, 2016, Walt Disney World®, Florida, USA ","International Conference on Applied Human Factors and Ergonomics Orlando, Fla.) 2016 : (7th :",2016,Technology,Engineering & allied operations,Engineering & allied operations
2377,"Advances in human factors in robots and unmanned systems : proceedings of the AHFE 2016 International Conference on Human Factors in Robots and Unmanned Systems, July 27-31, 2016, Walt Disney World, Florida, USA ","International Conference on Human Factors in Robots and Unmanned Systems Orlando, Fla.) (2016 :",2016,Technology,Engineering & allied operations,Other branches of engineering
2378,"Advances in human factors in robots and unmanned systems : proceedings of the AHFE 2017 International Conference on Human Factors in Robots and Unmanned Systems, July 17?21, 2017, The Westin Bonaventure Hotel, Los Angeles, California, USA ","International Conference on Human Factors in Robots and Unmanned Systems Los Angeles, Calif.) (2017 :",2018,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2379,Advances in hydroinformatics : SIMHYDRO 2014 ,"SIMHYDRO (Conference) Sophia-Antipolis, France) (2014 :",2015,Technology,Engineering & allied operations,Engineering & allied operations
2380,"Advances in image and video technology : Third Pacific Rim Symposium, PSIVT 2009, Tokyo, Japan, January 13-16, 2009 : proceedings ","IEEE Pacific Rim Symposium on Image and Video Technology Tokyo, Japan) 2009 : (3rd :",2009,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2381,"Advances in informatics : 10th Panhellenic Conference on Informatics, PCI 2005, Volos, Greece, November 11-13, 2005 : proceedings ","Panhellenic Conference on Informatics Volos, Greece) 2005 : (10th :",2005,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2382,Advances in Information and Communication : Proceedings of the 2019 Future of Information and Communication Conference (FICC).,"Future of Information and Communication Conference San Francisco, Calif.) (2019 :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2383,Advances in information and communication : proceedings of the 2020 future of information and communication conference (FICC).,"Future of Information and Communication Conference San Francisco, Calif.) (2020 :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2384,"Advances in information and computer security : 15th International Workshop on Security, IWSEC 2020, Fukui, Japan, September 2-4, 2020, Proceedings ",International Workshop on Security Online) 2020 : (15th :,2020,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2385,"Advances in information and computer security : 8th International Workshop on Security, IWSEC 2013, Okinawa, Japan, November 18-20, 2013, Proceedings ","International Workshop on Security Okinawa-shi, Japan) 2013 : (8th :",2013,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2386,Advances in information communication technology and computing : proceedings of AICTC 2019 ,"International Conference on Advances in Information Communication Technology and Computing Rajasthan, India) 2019 : (2nd :",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2387,"Advances in information retrieval : 28th European Conference on IR Research, ECIR 2006, London, UK, April 10-12, 2006 : proceedings ","European Conference on IR Research London, England) 2006 : (28th :",2006,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2388,"Advances in information retrieval : 39th European Conference on IR Research, ECIR 2017, Aberdeen, UK, April 8-13, 2017, Proceedings ","European Conference on IR Research Aberdeen, Scotland) 2017 : (39th :",2017,"Computer science, information & general works",Library & information sciences,Library operations
2389,"Advances in information retrieval : 46th European Conference on Information Retrieval, ECIR 2024, Glasgow, UK, March 24-28, 2024, Proceedings, Part III ","European Conference on IR Research Glasgow, United Kingdom) 2024 : (46th :",2024,"Computer science, information & general works",Library & information sciences,Library operations
2390,"Advances in information technology : 4th International Conference, IAIT 2010, Bangkok, Thailand, November 4-5, 2010 : proceedings ","IAIT 2010 Bangkok, Thailand) (2010 :",2010,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2391,Advances in information technology in civil and building engineering : proceedings of ICCCBE 2022.,"International Conference on Computing in Civil and Building Engineering Cape Town, South Africa) 2022 : (19th :",2023,Technology,Engineering & allied operations,Civil engineering
2392,Advances in infrastructure finance ,"Tirumala, Raghu Dharmapuri, author.",2023,Social sciences,Economics,Financial economics
2393,"Advances in integrated design and production : proceedings of the 11th International Conference on Integrated Design and Production, CPI 2019, October 14-16, 2019, Fez, Morocco ","International Conference on Integrated Design and Production Fe?s, Morocco). 2019 : (11th :",2021,Technology,Engineering & allied operations,Engineering & allied operations
2394,Advances in intelligence and security informatics ,"Mao, Wenji, author.",2012,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2395,Advances in intelligent computing ,"International Conference on Computational Intelligence, Communications, and Business Analytics Kolkata, India) 2017 : (1st :",2019,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2396,"Advances in intelligent data analysis VII : 7th International Symposium on Intelligent Data Analysis, IDA 2007, Ljubljana, Slovenia, September 6-8, 2007 : proceedings ","International Symposium on Intelligent Data Analysis Ljubljana, Slovenia) 2007 : (7th :",2007,Natural Sciences and Mathemetics,Mathematics,Probabilities & applied mathematics
2397,"Advances in intelligent data analysis XI : 11th international symposium, IDA 2012, Helsinki, Finland, October 25-27, 2012 : proceedings ","International Symposium on Intelligent Data Analysis Helsinki, Finland) 2012 : (11th :",2012,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2398,"Advances in intelligent data analysis XVI : 16th International Symposium, IDA 2017, London, UK, October 26-28, 2017, Proceedings ","International Symposium on Intelligent Data Analysis London, England) 2017 : (16th :",2017,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2399,"Advances in intelligent systems and computing : selected papers from the International Conference on Computer Science and Information Technologies, CSIT 2016, September 6-10 Lviv, Ukraine ","International Conference on Computer Science and Information Technologies Lviv, Ukraine) (2016 :",2016,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2400,"Advances in intelligent systems and interactive applications : proceedings of the 4th International Conference on Intelligent, Interactive Systems and Applications (IISA2019) ","International Conference on Intelligent, Interactive Systems and Applications Bangkok, Thailand) 2019 : (4th :",2020,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2401,"Advances in intelligent web mastering : proceedings of the 5th Atlantic Web Intelligence Conference--AWIC'2007, Fontainebleau, France, June 25-27, 2007 ","International Atlantic Web Intelligence Conference Fontainebleau, France) 2007 : (5th :",2007,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
2402,"Advances in Internet, data & web technologies : the 10th International Conference on Emerging Internet, Data and Web Technologies (EIDWT-2022) ","International Conference on Emerging Intelligent Data and Web Technologies Okayama, Japan) 2022 : (10th :",2022,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2403,"Advances in internet, data and web technologies : the 9th International Conference on Emerging Internet, Data & Web Technologies (EIDWT-2021) ","International Conference on Emerging Intelligent Data and Web Technologies Chiang Mai, Thailand) 2021 : (9th :",2021,Technology,Engineering & allied operations,Engineering & allied operations
2404,Advances in K-means clustering : a data mining thinking ,"Wu, Junjie (College teacher)",2012,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2405,"Advances in knowledge discovery and data mining : 14th Pacific-Asia Conference, PAKDD 2010, Hyderabad, India, June 21-24, 2010 ; proceedings.","Pacific-Asia Conference on Knowledge Discovery and Data Mining Hyderabad, India) 2010 : (10th :",2010,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2406,"Advances in knowledge discovery and data mining : 21st Pacific-Asia Conference, PAKDD 2017, Jeju, South Korea, May 23-26, 2017, Proceedings.","Pacific-Asia Conference on Knowledge Discovery and Data Mining Cheju Island, Korea) 2017 : (21st :",2017,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2407,"Advances in knowledge discovery and data mining : 7th Pacific-Asia Conference, PAKDD 2003, Seoul, Korea, April 30 - May 2, 2003 : proceedings ","Pacific-Asia Conference on Knowledge Discovery and Data Mining Seoul, Korea) 2003 : (7th :",2003,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2408,"Advances in knowledge discovery and data mining : 9th Pacific-Asia conference, PAKDD 2005, Hanoi, Vietnam, May 18-20, 2005 ; proceedings ","Pacific-Asia Conference on Knowledge Discovery and Data Mining Hanoi, Vietnam) 2005 : (9th :",2005,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2409,"Advances in knowledge discovery and data mining 26th Pacific-Asia Conference, PAKDD 2022, Chengdu, China, May 16-19, 2022, Proceedings.","PAKDD (Conference) Chengdu, China ; Online) 2022 : (26th :",2022,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2410,"Advances in Knowledge Discovery and Data Mining 7th Pacific-Asia Conference, PAKDD 2003. Seoul, Korea, April 30 - May 2, 2003, Proceedings ",Pacific-Asia Conference on Knowledge Discovery and Data Mining; Pacific-Asia Conference on Knowledge Discovery and Data Mining Corporate Author,2003,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
2411,Advances in machine learning and data science : recent achievements and research directives ,"International Conference on Latest Advances in Machine Learning and Data Science Goa, India) (2017 :",2018,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
2412,Advances in manufacturing II.,"MANUFACTURING (Conference) Poznan, Poland) 2019 : (6th :",2019,Technology,Manufacturing,Manufacturing
